LD,Velocity (km/s),a (degrees),$ (degrees),DI
4,0.5,45,45,0.12761
4,0.5,45,30,0.13476
4,0.5,45,15,0.13772
4,0.5,30,60,0.04223
4,0.5,30,45,0.09894
4,0.5,30,30,0.15266
4,0.5,30,15,0.14652
4,0.5,15,60,0.03226
4,0.5,15,45,0.08673
4,0.5,15,30,0.11706
4,0.5,15,15,0.17218
4,0.5,0,60,0.03756
4,0.5,0,45,0.08924
4,0.5,0,30,0.12051
4,0.5,0,15,0.1399
4,0.5,-15,60,0.04291
4,0.5,-15,45,0.091
4,0.5,-15,30,0.12415
4,0.5,-15,15,0.13456
4,0.5,-30,60,0.0452
4,0.5,-30,45,0.09885
4,0.5,-30,30,0.12533
4,0.5,-30,15,0.13627
4,0.5,-45,60,0.04217
4,0.5,-45,45,0.09818
4,0.5,-45,30,0.12387
4,0.5,-45,15,0.13447
4,0.5,-60,60,0.0402
4,0.5,-60,45,0.08253
4,0.5,-60,30,0.11495
4,0.5,-60,15,0.12954
4,0.5,-75,60,0.04634
4,0.5,-75,45,0.0863
4,0.5,-75,30,0.1099
4,0.5,-75,15,0.12081
4,0.5,-90,60,0.05142
4,0.5,-90,45,0.091
4,0.5,-90,30,0.10755
4,0.5,-90,15,0.11392
4,1,90,60,0.22296
4,1,90,45,0.26757
4,1,90,30,0.3206
4,1,90,15,0.34558
4,1,75,60,0.2303
4,1,75,45,0.30459
4,1,75,30,0.32856
4,1,75,15,0.35031
4,1,60,60,0.29574
4,1,60,45,0.34743
4,1,60,30,0.35894
4,1,60,15,0.37239
4,1,45,60,0.26303
4,1,45,45,0.3962
4,1,45,30,0.41943
4,1,45,15,0.3873
4,1,30,60,0.23709
4,1,30,45,0.34872
4,1,30,30,0.46441
4,1,30,15,0.46032
4,1,15,60,0.21743
4,1,15,45,0.32477
4,1,15,30,0.43079
4,1,15,15,0.49943
4,1,0,60,0.1961
4,1,0,45,0.28365
4,1,0,30,0.3768
4,1,0,15,0.46929
4,1,-15,60,0.18744
4,1,-15,45,0.2626
4,1,-15,30,0.35006
